article_id,conciseness,correctness
article_001,100.0,43.8
article_002,66.7,56.2
article_003,66.7,50.0
article_004,100.0,62.5
article_005,66.7,37.5
article_006,100.0,81.2
article_007,83.3,68.8
article_008,100.0,62.5
article_009,83.3,50.0
article_010,83.3,43.8
article_011,66.7,50.0
article_012,66.7,56.2
article_013,66.7,37.5
article_014,100.0,56.2
article_015,66.7,68.8
article_016,100.0,62.5
article_017,83.3,62.5
article_018,100.0,62.5
article_019,100.0,81.2
article_020,83.3,50.0
article_021,83.3,43.8
article_022,83.3,50.0
article_023,100.0,50.0
article_024,66.7,43.8
article_025,83.3,62.5
article_026,83.3,56.2
article_027,66.7,25.0
article_028,100.0,61.5
article_029,83.3,56.2
article_030,66.7,37.5
article_031,100.0,62.5
article_032,66.7,50.0
article_033,100.0,62.5
article_034,100.0,68.8
article_035,85.7,62.5
article_036,85.7,62.5
article_037,83.3,43.8
article_038,83.3,75.0
article_039,66.7,37.5
article_040,100.0,56.2
article_041,83.3,31.2
article_042,100.0,37.5
article_043,50.0,37.5
article_044,66.7,37.5
article_045,83.3,25.0
article_046,100.0,62.5
article_047,100.0,56.2
article_048,100.0,56.2
article_049,83.3,80.0
article_050,100.0,87.5
article_051,100.0,43.8
article_052,100.0,62.5
article_053,83.3,46.7
article_054,100.0,61.5
article_055,100.0,69.2
article_056,100.0,62.5
article_057,100.0,56.2
article_058,100.0,76.9
article_059,66.7,62.5
article_060,83.3,50.0
article_061,66.7,50.0
article_062,83.3,43.8
article_063,83.3,62.5
article_064,NA,NA
article_065,83.3,56.2
article_066,100.0,68.8
article_067,66.7,50.0
article_068,100.0,68.8
article_069,100.0,50.0
article_070,100.0,43.8
article_071,83.3,50.0
article_072,83.3,56.2
article_073,50.0,25.0
article_074,66.7,50.0
article_075,100.0,68.8
article_076,83.3,56.2
article_077,66.7,43.8
article_078,66.7,70.0
article_079,100.0,68.8
article_080,100.0,68.8
article_081,100.0,68.8
article_082,83.3,69.2
article_083,100.0,50.0
article_084,83.3,31.2
article_085,100.0,68.8
article_086,83.3,83.3
article_087,83.3,56.2
article_088,100.0,83.3
article_089,83.3,58.3
article_090,57.1,57.1
article_091,66.7,53.3
article_092,62.5,62.5
article_093,66.7,66.7
article_094,100.0,85.7
article_095,100.0,71.4
article_096,100.0,75.0
article_097,100.0,62.5
article_098,83.3,68.8
article_099,100.0,64.3
article_100,100.0,57.1
article_101,83.3,43.8
article_102,100.0,81.8
article_103,83.3,57.1
article_104,83.3,87.5
article_105,100.0,75.0
article_106,100.0,62.5
article_107,100.0,56.2
article_108,100.0,56.2
article_109,71.4,62.5
article_110,100.0,62.5
article_111,83.3,56.2
article_112,100.0,62.5
article_113,100.0,56.2
article_114,100.0,62.5
article_115,100.0,56.2
article_116,66.7,37.5
article_117,66.7,37.5
article_118,83.3,56.2
article_119,100.0,75.0
article_120,100.0,56.2
article_121,100.0,50.0
article_122,100.0,75.0
article_123,100.0,62.5
article_124,100.0,62.5
article_125,85.7,56.2
article_126,100.0,75.0
article_127,100.0,75.0
article_128,100.0,56.2
article_129,100.0,68.8
article_130,100.0,81.2
article_131,100.0,62.5
article_132,83.3,50.0
article_133,100.0,87.5
article_134,100.0,60.0
article_135,100.0,62.5
article_136,100.0,62.5
article_137,100.0,75.0
article_138,100.0,62.5
article_139,100.0,56.2
article_140,100.0,81.2
article_141,83.3,43.8
article_142,100.0,75.0
article_143,100.0,56.2
article_144,100.0,56.2
article_145,100.0,56.2
article_146,83.3,56.2
article_147,66.7,50.0
article_148,83.3,50.0
article_149,66.7,50.0
article_150,66.7,50.0
