article_id,conciseness,completeness,faithfulness
article_001,20.0%,12.5%,0.0000
article_002,83.3%,43.8%,0.0000
article_003,60.0%,18.8%,0.0000
article_004,20.0%,6.2%,0.0000
article_005,40.0%,12.5%,0.0000
article_006,60.0%,18.8%,0.0000
article_007,40.0%,18.8%,0.0000
article_008,40.0%,12.5%,0.0000
article_009,66.7%,25.0%,0.0000
article_010,20.0%,6.2%,0.0000
article_011,40.0%,12.5%,0.0000
article_012,40.0%,25.0%,0.0000
article_013,20.0%,6.2%,0.0000
article_014,40.0%,12.5%,0.0000
article_015,40.0%,18.8%,0.0000
article_016,40.0%,31.2%,0.0000
article_017,20.0%,6.2%,0.0000
article_018,40.0%,12.5%,0.0000
article_019,40.0%,12.5%,0.0000
article_020,80.0%,31.2%,0.0000
article_021,60.0%,25.0%,0.0000
article_022,0.0%,0.0%,0.0000
article_023,83.3%,37.5%,0.0000
article_024,60.0%,25.0%,0.0000
article_025,20.0%,6.2%,0.0000
article_026,0.0%,0.0%,0.0000
article_027,40.0%,12.5%,0.0000
article_028,0.0%,0.0%,0.0000
article_029,40.0%,12.5%,0.0000
article_030,40.0%,12.5%,0.0000
article_031,60.0%,18.8%,0.0000
article_032,60.0%,18.8%,0.0000
article_033,40.0%,25.0%,0.0000
article_034,20.0%,6.2%,0.0000
article_035,0.0%,0.0%,0.0000
article_036,80.0%,37.5%,0.0000
article_037,80.0%,37.5%,0.0000
article_038,80.0%,25.0%,0.0000
article_039,60.0%,18.8%,0.0000
article_040,20.0%,6.2%,0.0000
article_041,40.0%,12.5%,0.0000
article_042,40.0%,18.8%,0.0000
article_043,0.0%,0.0%,0.0000
article_044,0.0%,0.0%,0.0000
article_045,20.0%,6.2%,0.0000
article_046,80.0%,18.8%,0.0000
article_047,60.0%,18.8%,0.0000
article_048,20.0%,6.2%,0.0000
article_049,20.0%,10.0%,0.0000
article_050,20.0%,6.2%,0.0000
article_051,40.0%,12.5%,0.0000
article_052,0.0%,0.0%,0.0000
article_053,100.0%,33.3%,0.0000
article_054,60.0%,38.5%,0.0000
article_055,0.0%,0.0%,0.0000
article_056,80.0%,43.8%,0.0000
article_057,20.0%,6.2%,0.0000
article_058,16.7%,7.7%,0.0000
article_059,80.0%,25.0%,0.0000
article_060,80.0%,25.0%,0.0000
article_061,40.0%,12.5%,0.0000
article_062,40.0%,12.5%,0.0000
article_063,40.0%,18.8%,0.0000
article_064,40.0%,25.0%,0.0000
article_065,80.0%,25.0%,0.0000
article_066,60.0%,18.8%,0.0000
article_067,60.0%,18.8%,0.0000
article_068,100.0%,25.0%,0.0000
article_069,50.0%,18.8%,0.0000
article_070,40.0%,12.5%,0.0000
article_071,60.0%,18.8%,0.0000
article_072,0.0%,0.0%,0.0000
article_073,40.0%,12.5%,0.0000
article_074,20.0%,6.2%,0.0000
article_075,40.0%,12.5%,0.0000
article_076,40.0%,12.5%,0.0000
article_077,20.0%,6.2%,0.0000
article_078,40.0%,20.0%,0.0000
article_079,40.0%,12.5%,0.0000
article_080,60.0%,25.0%,0.0000
article_081,40.0%,12.5%,0.0000
article_082,60.0%,23.1%,0.0000
article_083,0.0%,0.0%,0.0000
article_084,40.0%,18.8%,0.0000
article_085,60.0%,25.0%,0.0000
article_086,60.0%,25.0%,0.0000
article_087,40.0%,12.5%,0.0000
article_088,40.0%,41.7%,0.0000
article_089,20.0%,8.3%,0.0000
article_090,16.7%,7.1%,0.0000
article_091,0.0%,0.0%,0.0000
article_092,0.0%,0.0%,0.0000
article_093,0.0%,0.0%,0.0000
article_094,16.7%,7.1%,0.0000
article_095,40.0%,14.3%,0.0000
article_096,40.0%,12.5%,0.0000
article_097,60.0%,18.8%,0.0000
article_098,40.0%,12.5%,0.0000
article_099,40.0%,14.3%,0.0000
article_100,20.0%,7.1%,0.0000
article_101,20.0%,6.2%,0.0000
article_102,20.0%,9.1%,0.0000
article_103,60.0%,21.4%,0.0000
article_104,0.0%,0.0%,0.0000
article_105,0.0%,0.0%,0.0000
article_106,60.0%,18.8%,0.0000
article_107,60.0%,37.5%,0.0000
article_108,40.0%,12.5%,0.0000
article_109,0.0%,0.0%,0.0000
article_110,33.3%,12.5%,0.0000
article_111,60.0%,18.8%,0.0000
article_112,20.0%,6.2%,0.0000
article_113,20.0%,6.2%,0.0000
article_114,20.0%,6.2%,0.0000
article_115,40.0%,12.5%,0.0000
article_116,16.7%,12.5%,0.0000
article_117,20.0%,6.2%,0.0000
article_118,20.0%,6.2%,0.0000
article_119,60.0%,31.2%,0.0000
article_120,20.0%,6.2%,0.0000
article_121,0.0%,0.0%,0.0000
article_122,40.0%,12.5%,0.0000
article_123,20.0%,6.2%,0.0000
article_124,40.0%,18.8%,0.0000
article_125,16.7%,6.2%,0.0000
article_126,0.0%,0.0%,0.0000
article_127,0.0%,0.0%,0.0000
article_128,60.0%,12.5%,0.0000
article_129,0.0%,0.0%,0.0000
article_130,0.0%,0.0%,0.0000
article_131,0.0%,0.0%,0.0000
article_132,40.0%,12.5%,0.0000
article_133,60.0%,31.2%,0.0000
article_134,20.0%,13.3%,0.0000
article_135,40.0%,12.5%,0.0000
article_136,40.0%,18.8%,0.0000
article_137,60.0%,25.0%,0.0000
article_138,60.0%,31.2%,0.0000
article_139,60.0%,31.2%,0.0000
article_140,0.0%,0.0%,0.0000
article_141,33.3%,18.8%,0.0000
article_142,20.0%,6.2%,0.0000
article_143,33.3%,12.5%,0.0000
