doc_id,faithfulness_score
article_001,100.00
article_002,100.00
article_003,83.33
article_004,100.00
article_005,100.00
article_006,100.00
article_007,100.00
article_008,100.00
article_009,100.00
article_010,100.00
article_011,100.00
article_012,100.00
article_013,83.33
article_014,83.33
article_015,100.00
article_016,100.00
article_017,100.00
article_018,100.00
article_019,100.00
article_020,100.00
article_021,100.00
article_022,83.33
article_023,100.00
article_024,100.00
article_025,83.33
article_026,100.00
article_027,100.00
article_028,100.00
article_029,100.00
article_030,83.33
article_031,83.33
article_032,100.00
article_033,66.67
article_034,100.00
article_035,100.00
article_036,100.00
article_037,83.33
article_038,100.00
article_039,100.00
article_040,100.00
article_041,100.00
article_042,100.00
article_043,100.00
article_044,100.00
article_045,100.00
article_046,100.00
article_047,100.00
article_048,100.00
article_049,83.33
article_050,100.00
article_051,100.00
article_052,83.33
article_053,100.00
article_054,100.00
article_055,100.00
article_056,100.00
article_057,100.00
article_058,100.00
article_059,100.00
article_060,100.00
article_061,83.33
article_062,100.00
article_063,100.00
article_064,100.00
article_065,100.00
article_066,100.00
article_067,100.00
article_068,100.00
article_069,100.00
article_070,100.00
article_071,100.00
article_072,100.00
article_073,100.00
article_074,100.00
article_075,100.00
article_076,100.00
article_077,100.00
article_078,100.00
article_079,100.00
article_080,100.00
article_081,100.00
article_082,83.33
article_083,85.71
article_084,100.00
article_085,100.00
article_086,100.00
article_087,100.00
article_088,100.00
article_089,100.00
article_090,85.71
article_091,100.00
article_092,75.00
article_093,100.00
article_094,100.00
article_095,100.00
article_096,100.00
article_097,71.43
article_098,100.00
article_099,85.71
article_100,100.00
article_101,100.00
article_102,100.00
article_103,100.00
article_104,100.00
article_105,83.33
article_106,100.00
article_107,100.00
article_108,100.00
article_109,100.00
article_110,100.00
article_111,100.00
article_112,100.00
article_113,100.00
article_114,100.00
article_115,100.00
article_116,100.00
article_117,100.00
article_118,100.00
article_119,100.00
article_120,100.00
article_121,100.00
article_122,100.00
article_123,100.00
article_124,100.00
article_125,100.00
article_126,100.00
article_127,100.00
article_128,100.00
article_129,100.00
article_130,66.67
article_131,100.00
article_132,100.00
article_133,100.00
article_134,100.00
article_135,100.00
article_136,100.00
article_137,100.00
article_138,100.00
article_139,100.00
article_140,100.00
article_141,100.00
article_142,100.00
article_143,100.00
article_144,100.00
article_145,100.00
article_146,100.00
article_147,100.00
article_148,100.00
article_149,100.00
article_150,100.00

